replication_id,scenario_seed,strategy,total_boarding_time,load_factor,luggage_probability,cross_zone_violation_rate,passenger_count,completed,error_message
1,20260413,std,827.0,0.85,0.75,0.05,248,True,
1,20260413,pyramid,521.5,0.85,0.75,0.05,248,True,
2,20260414,std,910.0,0.85,0.75,0.05,248,True,
2,20260414,pyramid,600.5,0.85,0.75,0.05,248,True,
3,20260415,std,853.5,0.85,0.75,0.05,248,True,
3,20260415,pyramid,592.5,0.85,0.75,0.05,248,True,
4,20260416,std,915.5,0.85,0.75,0.05,248,True,
4,20260416,pyramid,547.5,0.85,0.75,0.05,248,True,
5,20260417,std,818.5,0.85,0.75,0.05,248,True,
5,20260417,pyramid,597.0,0.85,0.75,0.05,248,True,
6,20260418,std,736.5,0.85,0.75,0.05,248,True,
6,20260418,pyramid,609.0,0.85,0.75,0.05,248,True,
7,20260419,std,757.0,0.85,0.75,0.05,248,True,
7,20260419,pyramid,508.0,0.85,0.75,0.05,248,True,
8,20260420,std,931.5,0.85,0.75,0.05,248,True,
8,20260420,pyramid,548.5,0.85,0.75,0.05,248,True,
9,20260421,std,697.0,0.85,0.75,0.05,248,True,
9,20260421,pyramid,537.5,0.85,0.75,0.05,248,True,
10,20260422,std,845.5,0.85,0.75,0.05,248,True,
10,20260422,pyramid,688.0,0.85,0.75,0.05,248,True,
11,20260423,std,871.0,0.85,0.75,0.05,248,True,
11,20260423,pyramid,584.5,0.85,0.75,0.05,248,True,
12,20260424,std,781.5,0.85,0.75,0.05,248,True,
12,20260424,pyramid,597.0,0.85,0.75,0.05,248,True,
13,20260425,std,757.5,0.85,0.75,0.05,248,True,
13,20260425,pyramid,469.0,0.85,0.75,0.05,248,True,
14,20260426,std,754.5,0.85,0.75,0.05,248,True,
14,20260426,pyramid,520.0,0.85,0.75,0.05,248,True,
15,20260427,std,760.0,0.85,0.75,0.05,248,True,
15,20260427,pyramid,526.5,0.85,0.75,0.05,248,True,
16,20260428,std,803.5,0.85,0.75,0.05,248,True,
16,20260428,pyramid,554.0,0.85,0.75,0.05,248,True,
17,20260429,std,765.5,0.85,0.75,0.05,248,True,
17,20260429,pyramid,587.0,0.85,0.75,0.05,248,True,
18,20260430,std,768.5,0.85,0.75,0.05,248,True,
18,20260430,pyramid,572.0,0.85,0.75,0.05,248,True,
19,20260431,std,756.0,0.85,0.75,0.05,248,True,
19,20260431,pyramid,484.5,0.85,0.75,0.05,248,True,
20,20260432,std,838.5,0.85,0.75,0.05,248,True,
20,20260432,pyramid,547.5,0.85,0.75,0.05,248,True,
21,20260433,std,876.0,0.85,0.75,0.05,248,True,
21,20260433,pyramid,526.0,0.85,0.75,0.05,248,True,
22,20260434,std,895.5,0.85,0.75,0.05,248,True,
22,20260434,pyramid,566.0,0.85,0.75,0.05,248,True,
23,20260435,std,812.5,0.85,0.75,0.05,248,True,
23,20260435,pyramid,516.0,0.85,0.75,0.05,248,True,
24,20260436,std,775.5,0.85,0.75,0.05,248,True,
24,20260436,pyramid,621.5,0.85,0.75,0.05,248,True,
25,20260437,std,1009.0,0.85,0.75,0.05,248,True,
25,20260437,pyramid,651.5,0.85,0.75,0.05,248,True,
26,20260438,std,729.5,0.85,0.75,0.05,248,True,
26,20260438,pyramid,579.5,0.85,0.75,0.05,248,True,
27,20260439,std,777.5,0.85,0.75,0.05,248,True,
27,20260439,pyramid,504.0,0.85,0.75,0.05,248,True,
28,20260440,std,786.0,0.85,0.75,0.05,248,True,
28,20260440,pyramid,516.0,0.85,0.75,0.05,248,True,
29,20260441,std,822.0,0.85,0.75,0.05,248,True,
29,20260441,pyramid,521.5,0.85,0.75,0.05,248,True,
30,20260442,std,818.5,0.85,0.75,0.05,248,True,
30,20260442,pyramid,492.5,0.85,0.75,0.05,248,True,
31,20260443,std,887.0,0.85,0.75,0.05,248,True,
31,20260443,pyramid,542.5,0.85,0.75,0.05,248,True,
32,20260444,std,712.0,0.85,0.75,0.05,248,True,
32,20260444,pyramid,445.5,0.85,0.75,0.05,248,True,
33,20260445,std,634.0,0.85,0.75,0.05,248,True,
33,20260445,pyramid,563.5,0.85,0.75,0.05,248,True,
34,20260446,std,784.5,0.85,0.75,0.05,248,True,
34,20260446,pyramid,557.5,0.85,0.75,0.05,248,True,
35,20260447,std,773.5,0.85,0.75,0.05,248,True,
35,20260447,pyramid,534.5,0.85,0.75,0.05,248,True,
36,20260448,std,761.0,0.85,0.75,0.05,248,True,
36,20260448,pyramid,568.0,0.85,0.75,0.05,248,True,
37,20260449,std,692.5,0.85,0.75,0.05,248,True,
37,20260449,pyramid,516.0,0.85,0.75,0.05,248,True,
38,20260450,std,886.5,0.85,0.75,0.05,248,True,
38,20260450,pyramid,654.5,0.85,0.75,0.05,248,True,
39,20260451,std,753.0,0.85,0.75,0.05,248,True,
39,20260451,pyramid,602.5,0.85,0.75,0.05,248,True,
40,20260452,std,798.0,0.85,0.75,0.05,248,True,
40,20260452,pyramid,561.5,0.85,0.75,0.05,248,True,
41,20260453,std,723.0,0.85,0.75,0.05,248,True,
