replication_id,scenario_seed,pair_completed,completed_pairs_so_far,total_seconds_a,total_seconds_b,difference,error_a,error_b
1,20260413,True,1,837.0,498.5,338.5,,
2,20260414,True,2,902.0,593.5,308.5,,
3,20260415,True,3,810.5,543.0,267.5,,
4,20260416,True,4,776.0,471.0,305.0,,
5,20260417,True,5,881.0,555.0,326.0,,
6,20260418,True,6,794.0,555.5,238.5,,
7,20260419,True,7,779.5,516.0,263.5,,
8,20260420,True,8,896.5,485.5,411.0,,
9,20260421,True,9,721.5,526.5,195.0,,
10,20260422,True,10,801.0,538.0,263.0,,
11,20260423,True,11,764.0,576.0,188.0,,
12,20260424,True,12,862.5,548.0,314.5,,
13,20260425,True,13,665.5,516.5,149.0,,
14,20260426,True,14,802.0,559.0,243.0,,
15,20260427,True,15,761.5,591.0,170.5,,
16,20260428,True,16,924.0,561.5,362.5,,
17,20260429,True,17,791.0,596.0,195.0,,
18,20260430,True,18,849.5,604.0,245.5,,
19,20260431,True,19,899.0,577.5,321.5,,
20,20260432,True,20,911.0,577.0,334.0,,
21,20260433,True,21,1006.0,579.5,426.5,,
22,20260434,True,22,893.0,560.0,333.0,,
23,20260435,True,23,819.0,502.0,317.0,,
24,20260436,True,24,764.5,508.0,256.5,,
25,20260437,True,25,1067.5,627.0,440.5,,
26,20260438,True,26,714.0,619.0,95.0,,
27,20260439,True,27,816.5,521.5,295.0,,
28,20260440,True,28,883.5,531.0,352.5,,
29,20260441,True,29,803.5,522.5,281.0,,
30,20260442,True,30,744.5,509.5,235.0,,
31,20260443,True,31,807.0,532.5,274.5,,
32,20260444,True,32,742.0,464.0,278.0,,
33,20260445,True,33,674.5,621.0,53.5,,
34,20260446,True,34,770.5,552.0,218.5,,
35,20260447,True,35,766.5,533.0,233.5,,
36,20260448,True,36,711.5,471.5,240.0,,
37,20260449,True,37,703.5,566.5,137.0,,
38,20260450,True,38,851.0,538.5,312.5,,
39,20260451,True,39,804.0,581.0,223.0,,
40,20260452,True,40,815.0,549.0,266.0,,
41,20260453,True,41,691.5,567.0,124.5,,
42,20260454,True,42,841.5,599.0,242.5,,
43,20260455,True,43,770.0,512.5,257.5,,
44,20260456,True,44,744.5,521.5,223.0,,
45,20260457,True,45,844.0,594.5,249.5,,
46,20260458,True,46,762.0,556.5,205.5,,
47,20260459,True,47,829.5,595.0,234.5,,
48,20260460,True,48,838.5,491.0,347.5,,
49,20260461,True,49,806.5,548.5,258.0,,
50,20260462,True,50,872.5,522.5,350.0,,
51,20260463,True,51,741.0,542.0,199.0,,
52,20260464,True,52,872.5,540.0,332.5,,
53,20260465,True,53,865.5,505.5,360.0,,
54,20260466,True,54,797.5,523.5,274.0,,
55,20260467,True,55,710.0,486.5,223.5,,
56,20260468,True,56,818.0,569.5,248.5,,
57,20260469,True,57,804.5,486.5,318.0,,
58,20260470,True,58,808.0,585.0,223.0,,
59,20260471,True,59,649.0,499.5,149.5,,
