replication_id,n_completed_pairs,sample_mean_diff,sample_sd_diff,standard_error,t_critical,ci_half_width,ci_low,ci_high,cv,pair_completed,difference,error_a,error_b,stop_flag
1,1,338.5,,,,,,,,True,338.5,,,False
2,2,323.5,21.213203435596427,15.0,12.706204736174694,190.5930710426204,132.9069289573796,514.0930710426204,0.06557404462317289,True,308.5,,,False
3,3,304.8333333333333,35.64173583501979,20.577765778734207,4.302652729749462,88.53898010001579,216.2943532333175,393.3723134333491,0.11692204210504031,True,267.5,,,False
4,4,304.875,29.101474762171993,14.550737381085996,3.1824463052837078,46.30694041759066,258.5680595824093,351.1819404175907,0.09545379175784172,True,305.0,,,False
5,5,309.1,26.915144435800453,12.036818516535007,2.7764451051977934,33.419565852387784,275.68043414761223,342.5195658523878,0.08707584741443045,True,326.0,,,False
6,6,297.3333333333333,37.553517367440655,15.331159266162638,2.5705818356363146,39.40999952884505,257.92333380448827,336.74333286217836,0.12630106737928473,True,238.5,,,False
7,7,292.5,36.5889327529514,13.829316685939329,2.446911851144979,33.83911889206195,258.66088110793805,326.33911889206195,0.12509036838615864,True,263.5,,,False
8,8,307.3125,53.877465140817456,19.048560477106925,2.364624251592784,45.04268806209885,262.2698119379012,352.3551880620988,0.17531817007384162,True,411.0,,,False
9,9,294.8333333333333,62.78136666241027,20.927122220803422,2.306004135204166,48.25803037909568,246.57530295423763,343.091363712429,0.2129384963111711,True,195.0,,,False
10,10,291.65,60.04075005083353,18.986552258550436,2.262157162798205,42.950565188522305,248.69943481147766,334.6005651885223,0.2058657639322254,True,263.0,,,False
11,11,282.22727272727275,64.96974820497753,19.589116138161522,2.228138851986274,43.647270743509004,238.58000198376374,325.87454347078176,0.2302036496230481,True,188.0,,,False
12,12,284.9166666666667,62.64286701515814,18.08343806700574,2.2009851600916384,39.80137882891586,245.11528783775083,324.71804549558254,0.21986382105349447,True,314.5,,,False
13,13,274.46153846153845,70.83886102111772,19.647165054392868,2.1788128296672284,42.807495287100814,231.65404317443765,317.2690337486393,0.2581012312989155,True,149.0,,,False
14,14,272.2142857142857,68.57722045136536,18.328033104734015,2.1603686564627913,39.59530825407978,232.61897746020594,311.8095939683655,0.25192366473868144,True,243.0,,,False
15,15,265.43333333333334,71.11004215466403,18.360533934208078,2.144786687917804,39.37942876515259,226.05390456818074,304.8127620984859,0.2679017034584856,True,170.5,,,False
16,16,271.5,72.85876748888907,18.214691872222268,2.131449545559776,38.8236967135595,232.6763032864405,310.3236967135595,0.2683564180069579,True,362.5,,,False
17,17,267.0,72.94432808656201,17.691598205329655,2.1199052992212546,37.50451278717157,229.49548721282844,304.50451278717156,0.27319973066128095,True,195.0,,,False
18,18,265.80555555555554,70.94760678484322,16.722511288839783,2.1098155778333156,35.281414817687654,230.5241407378679,301.0869703732432,0.26691543988445565,True,245.5,,,False
19,19,268.7368421052632,70.1225848110635,16.08722425533084,2.1009220402410382,33.79800400432479,234.9388381009384,302.534846109588,0.2609340210360765,True,321.5,,,False
20,20,272.0,69.79500057499217,15.60663657753194,2.0930240544083087,32.665065765182916,239.33493423481707,304.66506576518293,0.25659926681982415,True,334.0,,,False
21,21,279.35714285714283,75.92399865278811,16.56797480429175,2.0859634472658644,34.5601898369744,244.79695302016842,313.91733269411725,0.2717811253231996,True,426.5,,,False
22,22,281.79545454545456,74.97168657485831,15.984017284148093,2.0796138447276795,33.2405836384809,248.55487090697366,315.0360381839355,0.26605002091247404,True,333.0,,,False
23,23,283.32608695652175,73.61487755629604,15.349763059534373,2.0738730679040254,31.833460207876428,251.4926267486453,315.1595471643982,0.2598238600160836,True,317.0,,,False
24,24,282.2083333333333,72.20470848591684,14.738724401408568,2.0686576104190486,30.48937440084277,251.71895893249055,312.6977077341761,0.25585604660593597,True,256.5,,,False
25,25,288.54,77.45024209129369,15.490048418258738,2.063898561628024,31.969888649992658,256.5701113500074,320.50988864999266,0.26842116202708005,True,440.5,,,False
