parameter_set_id,manifest_id,boarding_policy,load_factor,luggage_probability,cross_zone_violation_rate,stow_dist,stow_shape_k,stow_scale_lambda_s,shuffle_model,shuffle_low_s,shuffle_mode_s,shuffle_high_s,total_ticks,total_seconds,avg_boarding_seconds,avg_wait_seconds,luggage_passengers,avg_assigned_stow_seconds,row_conflict_count,seat_shuffle_starts,seat_shuffle_finishes,boarding_completion_success
P01_wb_k1.7_l14_tri_15_20.0_26,1,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1453,726.5,99.86088709677419,80.01612903225806,186,12.387096774193548,2370,58,58,True
P01_wb_k1.7_l14_tri_15_20.0_26,2,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1425,712.5,101.41935483870968,81.49395161290323,192,13.161458333333334,2301,57,56,True
P01_wb_k1.7_l14_tri_15_20.0_26,3,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1599,799.5,100.25604838709677,80.25403225806451,185,11.827027027027027,2366,56,56,True
P01_wb_k1.7_l14_tri_15_20.0_26,4,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1511,755.5,103.78024193548387,84.25403225806451,188,12.617021276595745,2617,64,64,True
P01_wb_k1.7_l14_tri_15_20.0_26,5,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1497,748.5,94.62298387096774,74.62298387096774,183,12.278688524590164,2690,66,66,True
P01_wb_k1.7_l14_tri_15_20.0_26,6,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1439,719.5,112.98185483870968,93.11895161290323,187,12.935828877005347,2380,58,57,True
P01_wb_k1.7_l14_tri_15_20.0_26,7,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1530,765.0,106.54233870967742,86.64112903225806,184,12.630434782608695,2207,54,54,True
P01_wb_k1.7_l14_tri_15_20.0_26,8,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1388,694.0,99.60282258064517,80.04435483870968,190,12.805263157894737,2369,57,57,True
P01_wb_k1.7_l14_tri_15_20.0_26,9,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1514,757.0,95.87298387096774,76.07862903225806,188,13.069148936170214,2505,59,59,True
P01_wb_k1.7_l14_tri_15_20.0_26,10,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1603,801.5,108.0625,88.49395161290323,175,12.64,2516,60,60,True
P01_wb_k1.7_l14_tri_15_20.0_26,11,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1284,642.0,86.56653225806451,66.60685483870968,180,12.027777777777779,2083,50,50,True
P01_wb_k1.7_l14_tri_15_20.0_26,12,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1537,768.5,114.80443548387096,95.16733870967742,193,12.715025906735752,2388,57,57,True
P01_wb_k1.7_l14_tri_15_20.0_26,13,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1381,690.5,104.67943548387096,85.29032258064517,181,12.895027624309392,2771,68,68,True
P01_wb_k1.7_l14_tri_15_20.0_26,14,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1662,831.0,111.18951612903226,91.66935483870968,190,13.773684210526316,2319,56,56,True
P01_wb_k1.7_l14_tri_15_20.0_26,15,std,0.85,0.75,0.05,weibull,1.7,14.0,triangular,15.0,20.0,26.0,1450,725.0,104.43346774193549,84.77620967741936,186,12.403225806451612,2690,65,65,True
